,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
10,lsmdc1005_Signs-5092,6073,Someone stares blearily down at the floor. Someone,they should have healthy habits and [MASK] their examples they can improve the habits of the population,they should have healthy habits and ,gold,in their examples they can improve the habits of the population,of their examples they can improve the habits of the population,to their examples they can improve the habits of the population,by their examples they can improve the habits of the population,3
11,lsmdc1005_Signs-5092,6071,"A little way beyond is someone's Ford pickup truck smashed into the tree, stretched into any of the front and a couple of paramedics standing by. They",when i was a child i help my father [MASK] his jobs after my school .,when i was a child i help my father ,gold,to his jobs after my school .,with his jobs after my school .,in his jobs after my school .,of his jobs after my school .,1
12,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8105,They run back through the forest towards Hogwarts. People,it was summer holidays and michael 's family was [MASK] the airport waiting impatiently their flight to mexico .,it was summer holidays and michael 's family was ,gold,to the airport waiting impatiently their flight to mexico .,of the airport waiting impatiently their flight to mexico .,at the airport waiting impatiently their flight to mexico .,in the airport waiting impatiently their flight to mexico .,2
13,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8104,Someone tries to release it. Someone,"when the big family get [MASK] of the plane , they realize that they were wearing",when the big family get ,gold,"in of the plane , they realize that they were wearing","of of the plane , they realize that they were wearing","off of the plane , they realize that they were wearing","to of the plane , they realize that they were wearing",2
14,lsmdc1052_Harry_Potter_and_the_order_of_phoenix-95232,8104,Someone tries to release it. Someone,"eaten the kittie during the night , so he shouted [MASK] tom , open the door and went away .","eaten the kittie during the night , so he shouted ",gen,"to tom , open the door and went away .","of tom , open the door and went away .","in tom , open the door and went away .","at tom , open the door and went away .",3
15,lsmdc1007_Spider-Man1-74947,16229,Now it's someone's turn to rain blades on his opponent. Someone,"so , my favourite sport [MASK] the present time it is street workout . i have","so , my favourite sport ",gold,to the present time it is street workout . i have,of the present time it is street workout . i have,in the present time it is street workout . i have,at the present time it is street workout . i have,3
16,lsmdc1007_Spider-Man1-74947,16219,Someone flips up and punches him again. Someone,"sometimes , a lot of phrases and sentences runs [MASK] my head , but how to write it down correctly","sometimes , a lot of phrases and sentences runs ",gen,"around my head , but how to write it down correctly","in my head , but how to write it down correctly","of my head , but how to write it down correctly","to my head , but how to write it down correctly",0
17,lsmdc1007_Spider-Man1-74947,16213,Someone looks up at her hero and sees someone closing in again. Someone,", because she loves him , to forgive and apologize [MASK] her mother - in - law .",", because she loves him , to forgive and apologize ",gen,of her mother - in - law .,for her mother - in - law .,to her mother - in - law .,in her mother - in - law .,2
18,lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,"one day when michael was out [MASK] work , his mother insulted and hit his wife .",one day when michael was out ,gen,"of work , his mother insulted and hit his wife .","at work , his mother insulted and hit his wife .","to work , his mother insulted and hit his wife .","in work , his mother insulted and hit his wife .",1
19,lsmdc1007_Spider-Man1-74947,16222,"He crashes into a brick wall and collapses on the ground. He raises his wrist, but someone's boot",she was shocked and apologized [MASK] a mistake she did not commit .,she was shocked and apologized ,gold,to a mistake she did not commit .,of a mistake she did not commit .,in a mistake she did not commit .,for a mistake she did not commit .,3
20,lsmdc1007_Spider-Man1-74947,16230,Someone falls to the ground. Someone,the light bulb was created [MASK] 1879 by thomas alva edison .,the light bulb was created ,gold,of 1879 by thomas alva edison .,in 1879 by thomas alva edison .,to 1879 by thomas alva edison .,for 1879 by thomas alva edison .,1
21,lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone","edison began a serious research [MASK] the incandescent light bulb on october of 1878 , and",edison began a serious research ,gen,"into the incandescent light bulb on october of 1878 , and","to the incandescent light bulb on october of 1878 , and","of the incandescent light bulb on october of 1878 , and","in the incandescent light bulb on october of 1878 , and",0
22,lsmdc1007_Spider-Man1-74947,16215,Someone crashes through the wall of an old ruin. He,"edison began a serious research about the incandescent light bulb [MASK] october of 1878 , and his original design were in",edison began a serious research about the incandescent light bulb ,gen,"in october of 1878 , and his original design were in","for october of 1878 , and his original design were in","to october of 1878 , and his original design were in","of october of 1878 , and his original design were in",0
23,lsmdc1007_Spider-Man1-74947,16210,"Knocked off balance, someone is kicked away by someone. The crowd on the bridge","he is not moving so we decide to take him [MASK] the hospital or call the ambulance , finally we call",he is not moving so we decide to take him ,gen,"in the hospital or call the ambulance , finally we call","to the hospital or call the ambulance , finally we call","for the hospital or call the ambulance , finally we call","of the hospital or call the ambulance , finally we call",1
24,lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,"waiting patiently , finally the ambulance arrived and take him [MASK] the hospital immediately .","waiting patiently , finally the ambulance arrived and take him ",gen,for the hospital immediately .,in the hospital immediately .,to the hospital immediately .,of the hospital immediately .,2
25,lsmdc1007_Spider-Man1-74947,16226,Webs wrap around someone's ankles and someone yanks him down. Two more webs,"i am living [MASK] são carlos , in the countryside of são paulo ,",i am living ,gold,"of são carlos , in the countryside of são paulo ,","to são carlos , in the countryside of são paulo ,","for são carlos , in the countryside of são paulo ,","in são carlos , in the countryside of são paulo ,",3
26,lsmdc1007_Spider-Man1-74947,16207,Someone slips off it but clasps hold of the rail running around the cable car roof. Someone,"são carlos , in the countryside of são paulo , [MASK] brazil .","são carlos , in the countryside of são paulo , ",gold,in brazil .,for brazil .,to brazil .,of brazil .,0
27,lsmdc1007_Spider-Man1-74947,16227,"From beneath the pile of rubble, a hand appears. He","secondly , the hall does n't matter [MASK] the environment ; for example , the hall stopped with","secondly , the hall does n't matter ",gold,"of the environment ; for example , the hall stopped with","to the environment ; for example , the hall stopped with","in the environment ; for example , the hall stopped with","about the environment ; for example , the hall stopped with",3
28,lsmdc1007_Spider-Man1-74947,16228,Someone drags the villain through a trellis and smashes him against another wall. Now it,"in conclusion , in my city , the concern [MASK] the environment 's protection do not working how it is","in conclusion , in my city , the concern ",gold,to the environment 's protection do not working how it is,in the environment 's protection do not working how it is,for the environment 's protection do not working how it is,of the environment 's protection do not working how it is,2
29,lsmdc1007_Spider-Man1-74947,16216,He shoots out a web to steady himself. He,"environment 's protection do not working how it is necessary [MASK] protection of soil , environment and healthy .",environment 's protection do not working how it is necessary ,gold,"of protection of soil , environment and healthy .","in protection of soil , environment and healthy .","to protection of soil , environment and healthy .","for protection of soil , environment and healthy .",3
30,lsmdc1007_Spider-Man1-74947,16221,A kick to the head and a drop kick to the chest sends someone reeling. He,the sorrounding.there is no aleartness in our locality.they were busy [MASK] their own work.everyone were not focus or see what hapening,the sorrounding.there is no aleartness in our locality.they were busy ,gold,to their own work.everyone were not focus or see what hapening,with their own work.everyone were not focus or see what hapening,of their own work.everyone were not focus or see what hapening,in their own work.everyone were not focus or see what hapening,1
31,lsmdc1007_Spider-Man1-74947,16230,Someone falls to the ground. Someone,"managemant acountant practice is very important for organization [MASK] making decision about human resources , sales , marketing and",managemant acountant practice is very important for organization ,gen,"of making decision about human resources , sales , marketing and","to making decision about human resources , sales , marketing and","for making decision about human resources , sales , marketing and","in making decision about human resources , sales , marketing and",2
32,lsmdc1007_Spider-Man1-74947,16212,"The cable car lands safely on the barge, someone still clinging to it. Someone","he could n't be able to book me a flight [MASK] two months , so i called my brother who heavily",he could n't be able to book me a flight ,gold,"to two months , so i called my brother who heavily","in two months , so i called my brother who heavily","for two months , so i called my brother who heavily","of two months , so i called my brother who heavily",2
33,lsmdc1007_Spider-Man1-74947,16218,A punch sends someone high into the air and he lands heavily. Someone,"flight but he did n't pay for it , because [MASK] that moment he had n't got cash enough on him","flight but he did n't pay for it , because ",gold,at that moment he had n't got cash enough on him,in that moment he had n't got cash enough on him,to that moment he had n't got cash enough on him,of that moment he had n't got cash enough on him,0
34,lsmdc1007_Spider-Man1-74947,16223,Someone's eyes flare and he grits his teeth. Someone,"once upon a time , there was a monster [MASK] the city called  michenstain  .","once upon a time , there was a monster ",gold,of the city called  michenstain  .,to the city called  michenstain  .,in the city called  michenstain  .,for the city called  michenstain  .,2
35,lsmdc1007_Spider-Man1-74947,16224,Someone lunges at someone with a multi - bladed spear. Someone,", destroys complete cities ; he smash all the architecture [MASK] the city , and a lot of bad things .",", destroys complete cities ; he smash all the architecture ",gold,"of the city , and a lot of bad things .","to the city , and a lot of bad things .","for the city , and a lot of bad things .","in the city , and a lot of bad things .",0
36,lsmdc1007_Spider-Man1-74947,16217,The fireball throws someone backwards. He,"but when he arrived [MASK] michenstain , all the people went :  dahmmmmmmmmmm ",but when he arrived ,gold,"to michenstain , all the people went :  dahmmmmmmmmmm ","for michenstain , all the people went :  dahmmmmmmmmmm ","of michenstain , all the people went :  dahmmmmmmmmmm ","in michenstain , all the people went :  dahmmmmmmmmmm ",3
37,lsmdc1007_Spider-Man1-74947,16220,"He builds a large web, which slows down the Green someone, but can't hold him. Someone",he was in the number 1 rank of the monster [MASK] destroying things . ),he was in the number 1 rank of the monster ,gold,to destroying things . ),in destroying things . ),of destroying things . ),at destroying things . ),3
38,lsmdc1007_Spider-Man1-74947,16211,The crowd on the bridge continue to throw debris. The cable car,care about the infection ; they were playing ultimate team [MASK] their ipods .,care about the infection ; they were playing ultimate team ,gold,to their ipods .,of their ipods .,in their ipods .,on their ipods .,3
39,lsmdc1007_Spider-Man1-74947,16209,"A blade shoots out, but someone is hit by debris. Knocked off balance, someone","i 'm thinking in epanish and after makind the translation [MASK] english , may be in this moment when i 'm",i 'm thinking in epanish and after makind the translation ,gold,"of english , may be in this moment when i 'm","to english , may be in this moment when i 'm","into english , may be in this moment when i 'm","in english , may be in this moment when i 'm",2
40,lsmdc1007_Spider-Man1-74947,16209,"A blade shoots out, but someone is hit by debris. Knocked off balance, someone","and after makind the translation to english , may be [MASK] this moment when i 'm writing this composition i 'm","and after makind the translation to english , may be ",gen,to this moment when i 'm writing this composition i 'm,of this moment when i 'm writing this composition i 'm,in this moment when i 'm writing this composition i 'm,at this moment when i 'm writing this composition i 'm,3
41,lsmdc1007_Spider-Man1-74947,16215,Someone crashes through the wall of an old ruin. He,i 'm a teacher [MASK] chemistry and math too .,i 'm a teacher ,gold,to chemistry and math too .,of chemistry and math too .,in chemistry and math too .,for chemistry and math too .,1
42,lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,it is impossible not to love doing sports activity [MASK] the fresh air .,it is impossible not to love doing sports activity ,gen,in the fresh air .,to the fresh air .,of the fresh air .,for the fresh air .,0
43,lsmdc1007_Spider-Man1-74947,16214,Someone throws a line around someone's waist and pulls him away behind the glider. Someone,now these days public would not like to travel [MASK] the public transport to save their time as well as,now these days public would not like to travel ,gold,on the public transport to save their time as well as,to the public transport to save their time as well as,of the public transport to save their time as well as,in the public transport to save their time as well as,0
44,lsmdc1007_Spider-Man1-74947,16206,"Like a gymnast on rings, someone's arms are stretched wide, one attached to the web supporting them all, the hand of the other still grasping the cable tightly. Another punch",children have fun while teaching them the all goods benefits [MASK] practising sports .,children have fun while teaching them the all goods benefits ,gold,for practising sports .,in practising sports .,of practising sports .,to practising sports .,2
45,lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,"peter , maria , both of which are my parents [MASK] 45 years of the same age and my little brother","peter , maria , both of which are my parents ",gen,in 45 years of the same age and my little brother,for 45 years of the same age and my little brother,of 45 years of the same age and my little brother,to 45 years of the same age and my little brother,2
46,lsmdc1007_Spider-Man1-74947,16219,Someone flips up and punches him again. Someone,"high class famiies , as they are foccus on achievements [MASK] power , political influences etc . on the other hand","high class famiies , as they are foccus on achievements ",gen,"in power , political influences etc . on the other hand","of power , political influences etc . on the other hand","like power , political influences etc . on the other hand","to power , political influences etc . on the other hand",2
47,lsmdc1007_Spider-Man1-74947,16225,Someone stopped it in front of his face. He,"is the inheritance from our ancestors in terms of values [MASK] honesty , kindness , loyalty , etc .",is the inheritance from our ancestors in terms of values ,gold,"to honesty , kindness , loyalty , etc .","in honesty , kindness , loyalty , etc .","of honesty , kindness , loyalty , etc .","like honesty , kindness , loyalty , etc .",3
48,lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone","i am [MASK] my way to improve my english , i ask allah",i am ,gen,"of my way to improve my english , i ask allah","on my way to improve my english , i ask allah","in my way to improve my english , i ask allah","to my way to improve my english , i ask allah",1
49,lsmdc1007_Spider-Man1-74947,16210,"Knocked off balance, someone is kicked away by someone. The crowd on the bridge",translation and i think that they will be very happy [MASK] joining me in my center .,translation and i think that they will be very happy ,gold,to joining me in my center .,about joining me in my center .,of joining me in my center .,in joining me in my center .,1
50,lsmdc1007_Spider-Man1-74947,16208,"Someone glides in for the kill as someone is lowering the cable car towards the barge. A blade shoots out, but someone",this situation was impossible because his father had dead and [MASK] this moment he ran and he opened the door and,this situation was impossible because his father had dead and ,gold,at this moment he ran and he opened the door and,in this moment he ran and he opened the door and,to this moment he ran and he opened the door and,of this moment he ran and he opened the door and,0
51,anetv_v1hQ0vf66QY,2144,A countdown of text is shown that leads into clips of sumo wrestlers performing impressive throws. The video,"it 's pretty fun , i like to be out [MASK] our sail boat .","it 's pretty fun , i like to be out ",gold,for our sail boat .,of our sail boat .,to our sail boat .,in our sail boat .,3
52,anetv_F3iZD7tm8Io,4871,Then another woman comes up and she is wearing black shorts and a shirt. She flies onto the blue mat and other people,"it 's pretty fun , i like to be out [MASK] our sail boat .","it 's pretty fun , i like to be out ",gold,of our sail boat .,in our sail boat .,to our sail boat .,for our sail boat .,1
53,anetv_F3iZD7tm8Io,9477,"Her action is then repeated, but in slow motion once again. Another women in a purple top makes the same jump and again, her action",watching a few tv - series but i watch them [MASK] the internet so i am not trying to time the,watching a few tv - series but i watch them ,gold,of the internet so i am not trying to time the,to the internet so i am not trying to time the,on the internet so i am not trying to time the,in the internet so i am not trying to time the,2
54,anetv_F3iZD7tm8Io,4870,This woman is wearing a purple sports bra and blue panties as she runs and goes flying onto the beam. Then another woman comes up and she,i like the restaurant we ate [MASK] when we were on a ski - vacation in champoluc,i like the restaurant we ate ,gold,at when we were on a ski - vacation in champoluc,to when we were on a ski - vacation in champoluc,of when we were on a ski - vacation in champoluc,in when we were on a ski - vacation in champoluc,0
55,anetv_F3iZD7tm8Io,9476,Another young athlete then makes the same jump. Her action,they help us to communication [MASK] the world and we have only twenty hours a day,they help us to communication ,gen,to the world and we have only twenty hours a day,with the world and we have only twenty hours a day,in the world and we have only twenty hours a day,of the world and we have only twenty hours a day,1
56,anetv_F3iZD7tm8Io,9473,A young woman is standing at the foot of a pole vault track. She,"transportation help us going abroad more quickly , even come [MASK] the space by a tour .","transportation help us going abroad more quickly , even come ",gold,to the space by a tour .,into the space by a tour .,of the space by a tour .,in the space by a tour .,1
57,anetv_F3iZD7tm8Io,9474,She takes off and runs very fast towards it and makes it over the beam with relative ease. She,"going abroad more quickly , even come to the space [MASK] a tour .","going abroad more quickly , even come to the space ",gold,in a tour .,on a tour .,to a tour .,of a tour .,1
58,anetv_F3iZD7tm8Io,9475,She is then shown doing the same action in slow motion. Another young athlete then,you can join to any stock market on [MASK] the world to buy some google stocks and sell some,you can join to any stock market on ,gold,for the world to buy some google stocks and sell some,of the world to buy some google stocks and sell some,in the world to buy some google stocks and sell some,to the world to buy some google stocks and sell some,2
59,anetv_F3iZD7tm8Io,9475,She is then shown doing the same action in slow motion. Another young athlete then,you take the world [MASK] your hands with technology to help your life better and,you take the world ,gen,in your hands with technology to help your life better and,to your hands with technology to help your life better and,of your hands with technology to help your life better and,for your hands with technology to help your life better and,0
60,anetv_F3iZD7tm8Io,9476,Another young athlete then makes the same jump. Her action,this big stone takes out from far places and come [MASK] this place and how this building keep the body of,this big stone takes out from far places and come ,gold,of this place and how this building keep the body of,for this place and how this building keep the body of,to this place and how this building keep the body of,in this place and how this building keep the body of,2
61,lsmdc0001_American_Beauty-45932,14579,The Mercedes turns onto Robin Hood Trail. We,"public transport have improved the regional development [MASK] the past decade , it 's convenient and necessary for",public transport have improved the regional development ,gen,"for the past decade , it 's convenient and necessary for","to the past decade , it 's convenient and necessary for","in the past decade , it 's convenient and necessary for","of the past decade , it 's convenient and necessary for",2
62,lsmdc0001_American_Beauty-45932,14580,We turn into the Burnham driveway. A 1970 pontiac firebird with racing stripes,"and , it 's really enough development [MASK] our planet , it would be better if we can","and , it 's really enough development ",gold,"to our planet , it would be better if we can","of our planet , it would be better if we can","on our planet , it would be better if we can","in our planet , it would be better if we can",2
63,lsmdc0001_American_Beauty-45932,14579,The Mercedes turns onto Robin Hood Trail. We,"save some nature [MASK] the earth , and leave clear air for our kids",save some nature ,gold,"for the earth , and leave clear air for our kids","in the earth , and leave clear air for our kids","to the earth , and leave clear air for our kids","of the earth , and leave clear air for our kids",0
64,lsmdc0001_American_Beauty-45932,14582,"Someone is sprawled on the couch in his underwear, drinking a beer and controlling the car. Someone's remote - controlled model jeep",they have no facilities [MASK] other countries .,they have no facilities ,gold,to other countries .,like other countries .,of other countries .,in other countries .,1
65,lsmdc0001_American_Beauty-45932,14581,"The room, too, seems changed: sloppier, more lived in. Someone",i applied [MASK] one music club in our city and i was really,i applied ,gold,of one music club in our city and i was really,to one music club in our city and i was really,in one music club in our city and i was really,for one music club in our city and i was really,1
66,anetv_WrFNI5GQFPM,15978,The woman braids the other's hair all around and pins it up behind her. The woman,"is my sixteenth birthday and i 'm going to celebrate [MASK] my home , with my familiy anda some friends .",is my sixteenth birthday and i 'm going to celebrate ,gold,"to my home , with my familiy anda some friends .","of my home , with my familiy anda some friends .","at my home , with my familiy anda some friends .","in my home , with my familiy anda some friends .",2
67,anetv_WrFNI5GQFPM,17888,The woman is seated facing the camera while another woman styles her hair. The woman,i play with them [MASK] the playground .,i play with them ,gen,of the playground .,to the playground .,in the playground .,for the playground .,2
68,anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,"the readers , above all , and making no differences [MASK] the sport you have chosen , it is paramount practising","the readers , above all , and making no differences ",gen,"of the sport you have chosen , it is paramount practising","in the sport you have chosen , it is paramount practising","to the sport you have chosen , it is paramount practising","for the sport you have chosen , it is paramount practising",0
69,anetv_WrFNI5GQFPM,17888,The woman is seated facing the camera while another woman styles her hair. The woman,"if we take a look [MASK] the swiss public transport system , in the bigger cities",if we take a look ,gold,"at the swiss public transport system , in the bigger cities","in the swiss public transport system , in the bigger cities","of the swiss public transport system , in the bigger cities","to the swiss public transport system , in the bigger cities",0
70,anetv_WrFNI5GQFPM,17889,The woman continues to have her hair styled while turned away from the camera. The woman,"the sheets are bad , those sheets are then destroyed [MASK] burning .","the sheets are bad , those sheets are then destroyed ",gold,in burning .,of burning .,to burning .,by burning .,3
71,anetv_WrFNI5GQFPM,15977,A woman's hair is seen followed by another woman styling her hair. The woman,"the public transport offers a possible solution [MASK] the problem , because much people can transported in one",the public transport offers a possible solution ,gen,"for the problem , because much people can transported in one","in the problem , because much people can transported in one","of the problem , because much people can transported in one","to the problem , because much people can transported in one",3
72,anetv_WrFNI5GQFPM,15977,A woman's hair is seen followed by another woman styling her hair. The woman,and if we compare the money you spend [MASK] the car and the amount that you spend with the,and if we compare the money you spend ,gold,on the car and the amount that you spend with the,in the car and the amount that you spend with the,of the car and the amount that you spend with the,to the car and the amount that you spend with the,0
73,anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,"spend with the car and the amount that you spend [MASK] the public transport , it is less .",spend with the car and the amount that you spend ,gen,"to the public transport , it is less .","on the public transport , it is less .","of the public transport , it is less .","in the public transport , it is less .",1
74,anetv_WrFNI5GQFPM,17887,A woman's hair is shown from the back. The woman,"or the train , and maybe you can arrive later [MASK] your job , for this situation .","or the train , and maybe you can arrive later ",gold,"for your job , for this situation .","of your job , for this situation .","in your job , for this situation .","to your job , for this situation .",0
75,lsmdc3017_CHRONICLE-7331,7171,Someone stands observantly by as the older man rolls on to his stomach. His feet,"and maybe you can arrive later at your job , [MASK] this situation .","and maybe you can arrive later at your job , ",gold,for this situation .,of this situation .,to this situation .,in this situation .,3
76,lsmdc3017_CHRONICLE-7331,7169,"He pounces on the boy. He pulls the boy to his feet, but someone",you to visit queretaro it has had an excellent service [MASK] foreign people since five years ago .,you to visit queretaro it has had an excellent service ,gen,in foreign people since five years ago .,for foreign people since five years ago .,to foreign people since five years ago .,of foreign people since five years ago .,1
77,lsmdc3017_CHRONICLE-7331,7173,The view swings to someone who dabs his bloody nose. He playfully,see you when you arrive [MASK] mexico city,see you when you arrive ,gold,in mexico city,to mexico city,of mexico city,for mexico city,0
78,lsmdc3017_CHRONICLE-7331,7170,"He pulls the boy to his feet, but someone forces him up against the wall. Someone","it 's more comfortable , faster and preferable [MASK] have to run to take the bus , wait the","it 's more comfortable , faster and preferable ",gold,"of have to run to take the bus , wait the","to have to run to take the bus , wait the","for have to run to take the bus , wait the","in have to run to take the bus , wait the",1
79,lsmdc3017_CHRONICLE-7331,7170,"He pulls the boy to his feet, but someone forces him up against the wall. Someone","you take the bus , you have to take down [MASK] a bus stop , maybe a bit far from where","you take the bus , you have to take down ",gen,"of a bus stop , maybe a bit far from where","to a bus stop , maybe a bit far from where","in a bus stop , maybe a bit far from where","at a bus stop , maybe a bit far from where",3
80,lsmdc3017_CHRONICLE-7331,7168,His father overturns a table between them and slaps someone down. He,to be disgusted by the stench and the unpleasant look [MASK] the garbage .,to be disgusted by the stench and the unpleasant look ,gold,in the garbage .,for the garbage .,to the garbage .,of the garbage .,3
81,lsmdc3017_CHRONICLE-7331,7173,The view swings to someone who dabs his bloody nose. He playfully,"and also , [MASK] the river , the road in the city is also","and also , ",gen,"of the river , the road in the city is also","to the river , the road in the city is also","in the river , the road in the city is also","besides the river , the road in the city is also",3
82,lsmdc3017_CHRONICLE-7331,7172,"As the retired firefighter catches his breath lying face down, someone remains standing. His shoulders",town could make a better environment area by throwing garbage [MASK] its place and try using an eco - friendly transportation,town could make a better environment area by throwing garbage ,gold,in its place and try using an eco - friendly transportation,of its place and try using an eco - friendly transportation,for its place and try using an eco - friendly transportation,to its place and try using an eco - friendly transportation,0
83,anetv_u3XYsINR-y4,11598,One plays a violin while the others plays the piano. The two,"she was fallen in love , had written a letter [MASK] her .","she was fallen in love , had written a letter ",gen,to her .,for her .,in her .,of her .,0
84,anetv_u3XYsINR-y4,11597,Two women are seen playing different instruments in different frames. One,then the friends could not left to pay attention [MASK] the alison 's words .,then the friends could not left to pay attention ,gold,in the alison 's words .,of the alison 's words .,for the alison 's words .,to the alison 's words .,3
85,anetv_u3XYsINR-y4,11598,One plays a violin while the others plays the piano. The two,time the gasoline prices and the value of the reparations [MASK] the vehicles increase .,time the gasoline prices and the value of the reparations ,gold,of the vehicles increase .,in the vehicles increase .,for the vehicles increase .,to the vehicles increase .,3
86,anetv_u3XYsINR-y4,11598,One plays a violin while the others plays the piano. The two,"like [MASK] other things the prices increase , from the aliments to",like ,gen,"to other things the prices increase , from the aliments to","in other things the prices increase , from the aliments to","of other things the prices increase , from the aliments to","with other things the prices increase , from the aliments to",3
87,anetv_u3XYsINR-y4,18251,"A woman plays a violin while another plays a piano, both wearing overalls. They",used to go to the swimming pool when i was [MASK] the school to learn and it became in my favourite,used to go to the swimming pool when i was ,gen,in the school to learn and it became in my favourite,to the school to learn and it became in my favourite,of the school to learn and it became in my favourite,at the school to learn and it became in my favourite,3
88,anetv_YizcSEo0bTo,16304,They are all riding bumper cars around a track. They,is said to be healthy in order to improve problems [MASK] the back so that going swimming is really beneficial for,is said to be healthy in order to improve problems ,gold,with the back so that going swimming is really beneficial for,of the back so that going swimming is really beneficial for,in the back so that going swimming is really beneficial for,to the back so that going swimming is really beneficial for,0
89,anetv_YizcSEo0bTo,16303,A group of kids are inside a building. They,"there are lots of kinds of transportation [MASK] buses , cars , subways , trains or taixs .",there are lots of kinds of transportation ,gold,"to buses , cars , subways , trains or taixs .","like buses , cars , subways , trains or taixs .","of buses , cars , subways , trains or taixs .","in buses , cars , subways , trains or taixs .",1
90,anetv_nEOpfvJ7g_g,6067,They hit a ball against the wall multiple times. They,what happened [MASK] us .....,what happened ,gold,for us .....,to us .....,in us .....,of us .....,1
91,anetv_nEOpfvJ7g_g,17716,The man in the front continues bouncing the ball up and down before finally hitting it against the wall. Both males,after i was [MASK] home on dinner time and some dessert .,after i was ,gold,of home on dinner time and some dessert .,at home on dinner time and some dessert .,to home on dinner time and some dessert .,in home on dinner time and some dessert .,1
92,anetv_nEOpfvJ7g_g,17715,Two men dressed in white shirt and different bottoms are standing in a room with three walls and a hard wood floor. The man in the front,after i was in home [MASK] dinner time and some dessert .,after i was in home ,gold,of dinner time and some dessert .,at dinner time and some dessert .,in dinner time and some dessert .,to dinner time and some dessert .,1
93,anetv_nEOpfvJ7g_g,6066,A man and woman are standing inside a court. They,what happened [MASK] my healthy life which i want to have when i,what happened ,gen,for my healthy life which i want to have when i,of my healthy life which i want to have when i,to my healthy life which i want to have when i,in my healthy life which i want to have when i,2
94,anetv_nEOpfvJ7g_g,6066,A man and woman are standing inside a court. They,so many years travelling that they are old to study [MASK] a uniersity .,so many years travelling that they are old to study ,gold,at a uniersity .,of a uniersity .,to a uniersity .,in a uniersity .,0
